id,title,url,source,published_at,snippet,text,canonical_url,domain,normalized_title,dedup_text,source_quality,content_length,allow_hits,deny_hits,relevance,candidate_score,noise_reason,is_candidate,detected_category,cluster_id,dedup_method,dedup_threshold,dedup_similarity
a036,Российские банки проверяют кешбэк и повторные платежи в СБП,https://www.cbr.ru/press/event/?id=sbp-merchant-loyalty,Банк России — события,2026-05-10,"Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов.","Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов. Публикация упоминает Банки и платежные провайдеры и связывает событие с направлением payments для банковских команд.",https://cbr.ru/press/event?id=sbp-merchant-loyalty,cbr.ru,российские банки проверяют кешбэк и повторные платежи в сбп,российские банки проверяют кешбэк и повторные платежи в сбп несколько банков и платежных провайдеров тестируют механики лояльности в сбп кешбэк qr оплату и повторные платежи для малого бизнеса и онлайн мерчантов,1.0,426,"['payment', 'payments', 'qr', 'банк', 'банки', 'кешбэк', 'мерчант', 'платеж', 'платежи', 'сбп']",[],5.0,100.0,,True,payments,s003,fuzzy,0.72,1.0
a037,СБП тестирует новые сценарии лояльности для малого бизнеса,https://www.finextra.com/newsarticle/sbp-merchant-loyalty-cashback,Finextra,2026-05-09,"Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов.","Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов. Публикация упоминает Банки и платежные провайдеры и связывает событие с направлением payments для банковских команд.",https://finextra.com/newsarticle/sbp-merchant-loyalty-cashback,finextra.com,сбп тестирует новые сценарии лояльности для малого бизнеса,сбп тестирует новые сценарии лояльности для малого бизнеса несколько банков и платежных провайдеров тестируют механики лояльности в сбп кешбэк qr оплату и повторные платежи для малого бизнеса и онлайн мерчантов,0.8,426,"['payment', 'payments', 'qr', 'банк', 'банки', 'кешбэк', 'мерчант', 'платеж', 'платежи', 'сбп']",[],5.0,100.0,,True,payments,s003,fuzzy,0.72,0.769
a038,Банк России усиливает требования к антифрод-мониторингу переводов,https://www.cbr.ru/press/event/?id=antifraud-transfers-monitoring,Банк России — новости,2026-05-10,"Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах.","Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах. Публикация упоминает Банк России и связывает событие с направлением fraud_risk для банковских команд.",https://cbr.ru/press/event?id=antifraud-transfers-monitoring,cbr.ru,банк россии усиливает требования к антифрод мониторингу переводов,банк россии усиливает требования к антифрод мониторингу переводов регулятор описал новые подходы к борьбе с мошенничеством проверка подозрительных операций kyc aml сигналы биометрия и уведомления клиентов при переводах,1.0,415,"['aml', 'fraud', 'kyc', 'антифрод', 'банк', 'банк россии', 'биометрия', 'мошенничество', 'перевод', 'регулятор']",[],5.0,100.0,,True,fraud_risk,s004,fuzzy,0.72,1.0
a039,ЦБ обновляет подход к антифроду при переводах,https://www.rbc.ru/finances/2026/05/08/cbr-antifraud-transfers,РБК — новости,2026-05-09,"Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах.","Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах. Публикация упоминает Банк России и связывает событие с направлением fraud_risk для банковских команд.",https://rbc.ru/finances/2026/05/08/cbr-antifraud-transfers,rbc.ru,цб обновляет подход к антифроду при переводах,цб обновляет подход к антифроду при переводах регулятор описал новые подходы к борьбе с мошенничеством проверка подозрительных операций kyc aml сигналы биометрия и уведомления клиентов при переводах,0.7,415,"['aml', 'fraud', 'kyc', 'антифрод', 'банк', 'банк россии', 'биометрия', 'мошенничество', 'перевод', 'регулятор', 'цб']",[],5.0,100.0,,True,fraud_risk,s004,fuzzy,0.72,0.788
a040,ЦБ обновляет подход к антифроду при переводах,https://fintechrepost.example/cbr_antifraud_transfers?utm_source=telegram,Fintech Repost,2026-05-08,"Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах. Материал пересказывает детали из другого отраслевого источника.","Регулятор описал новые подходы к борьбе с мошенничеством: проверка подозрительных операций, KYC/AML-сигналы, биометрия и уведомления клиентов при переводах.",https://fintechrepost.example/cbr_antifraud_transfers,fintechrepost.example,цб обновляет подход к антифроду при переводах,цб обновляет подход к антифроду при переводах регулятор описал новые подходы к борьбе с мошенничеством проверка подозрительных операций kyc aml сигналы биометрия и уведомления клиентов при переводах материал пересказывает детали из другого отраслевого источника,0.45,377,"['aml', 'kyc', 'антифрод', 'биометрия', 'мошенничество', 'перевод', 'регулятор', 'цб']",[],5.0,100.0,,True,fraud_risk,s025,fuzzy,0.72,1.0
a041,Российский банк запускает биометрический онбординг в мобильном приложении,https://www.rbc.ru/finances/2026/05/07/mobile-bank-biometric-onboarding,РБК — новости,2026-05-09,"Российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении, чтобы быстрее открывать счет и подключать карту.","Российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении, чтобы быстрее открывать счет и подключать карту. Публикация упоминает Российский банк и связывает событие с направлением UX для банковских команд.",https://rbc.ru/finances/2026/05/07/mobile-bank-biometric-onboarding,rbc.ru,российский банк запускает биометрический онбординг в мобильном приложении,российский банк запускает биометрический онбординг в мобильном приложении российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении чтобы быстрее открывать счет и подключать карту,0.7,419,['банк'],[],2.25,45.0,,True,market_signal,s018,fuzzy,0.72,0.76
a042,Банк тестирует биометрический onboarding для новых клиентов,https://www.finextra.com/newsarticle/russian-bank-biometric-onboarding,Finextra,2026-05-08,"Российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении, чтобы быстрее открывать счет и подключать карту.","Российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении, чтобы быстрее открывать счет и подключать карту. Публикация упоминает Российский банк и связывает событие с направлением UX для банковских команд.",https://finextra.com/newsarticle/russian-bank-biometric-onboarding,finextra.com,банк тестирует биометрический onboarding для новых клиентов,банк тестирует биометрический onboarding для новых клиентов российский банк запускает сценарий удаленной идентификации и биометрического онбординга в мобильном приложении чтобы быстрее открывать счет и подключать карту,0.8,419,['банк'],[],2.35,47.0,,True,market_signal,s018,fuzzy,0.72,1.0
a043,Банк и маркетплейс запускают рассрочку BNPL для повторных покупок,https://www.rbc.ru/technology_and_media/2026/05/06/bank-marketplace-bnpl,РБК — новости,2026-05-08,"Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные.","Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные. Публикация упоминает Банк и маркетплейс и связывает событие с направлением partnership для банковских команд.",https://rbc.ru/technology_and_media/2026/05/06/bank-marketplace-bnpl,rbc.ru,банк и маркетплейс запускают рассрочку bnpl для повторных покупок,банк и маркетплейс запускают рассрочку bnpl для повторных покупок банк и крупный маркетплейс тестируют партнерскую bnpl механику рассрочка показывается в checkout а скоринг использует историю покупок и банковские данные,0.7,423,"['bnpl', 'checkout', 'банк', 'маркетплейс', 'рассрочка', 'скоринг']",[],5.0,100.0,,True,partnership,s020,fuzzy,0.72,0.87
a044,Маркетплейс и банк тестируют рассрочку в checkout,https://thepaypers.com/online-payments/russian-bank-marketplace-bnpl,The Paypers,2026-05-07,"Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные.","Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные. Публикация упоминает Банк и маркетплейс и связывает событие с направлением partnership для банковских команд.",https://thepaypers.com/online-payments/russian-bank-marketplace-bnpl,thepaypers.com,маркетплейс и банк тестируют рассрочку в checkout,маркетплейс и банк тестируют рассрочку в checkout банк и крупный маркетплейс тестируют партнерскую bnpl механику рассрочка показывается в checkout а скоринг использует историю покупок и банковские данные,0.8,423,"['bnpl', 'checkout', 'банк', 'маркетплейс', 'рассрочка', 'скоринг']",[],5.0,100.0,,True,partnership,s020,fuzzy,0.72,1.0
a045,Маркетплейс и банк тестируют рассрочку в checkout,https://fintechrepost.example/marketplace_bnpl_bank_partnership?utm_source=telegram,Fintech Repost,2026-05-06,"Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные. Материал пересказывает детали из другого отраслевого источника.","Банк и крупный маркетплейс тестируют партнерскую BNPL-механику: рассрочка показывается в checkout, а скоринг использует историю покупок и банковские данные.",https://fintechrepost.example/marketplace_bnpl_bank_partnership,fintechrepost.example,маркетплейс и банк тестируют рассрочку в checkout,маркетплейс и банк тестируют рассрочку в checkout банк и крупный маркетплейс тестируют партнерскую bnpl механику рассрочка показывается в checkout а скоринг использует историю покупок и банковские данные материал пересказывает детали из другого отраслевого источника,0.45,377,"['bnpl', 'checkout', 'банк', 'маркетплейс', 'рассрочка', 'скоринг']",[],4.75,95.0,,True,partnership,s020,fuzzy,0.72,0.866
a058,Neobank adds family budgeting spaces to mobile app,https://www.finextra.com/newsarticle/neobank-family-budgeting-spaces,Finextra,2026-05-09,A neobank added shared budgeting spaces and spending controls for families inside its mobile app.,A neobank added shared budgeting spaces and spending controls for families inside its mobile app. This update is relevant to UX teams.,https://finextra.com/newsarticle/neobank-family-budgeting-spaces,finextra.com,neobank adds family budgeting spaces mobile app,neobank adds family budgeting spaces mobile app neobank added shared budgeting spaces spending controls families inside its mobile app,0.8,232,"['bank', 'mobile app', 'neobank']",[],3.45,69.0,,True,UX,s016,fuzzy,0.72,1.0
a059,Payments startup launches instant refunds API for marketplaces,https://thepaypers.com/online-payments/instant-refunds-api-marketplaces,The Paypers,2026-05-08,A payments startup launched an API that lets marketplaces issue instant refunds to cards and wallets.,A payments startup launched an API that lets marketplaces issue instant refunds to cards and wallets. This update is relevant to payments teams.,https://thepaypers.com/online-payments/instant-refunds-api-marketplaces,thepaypers.com,payments startup launches instant refunds api marketplaces,payments startup launches instant refunds api marketplaces payments startup launched api that lets marketplaces issue instant refunds cards wallets,0.8,246,"['card', 'payment', 'payments', 'wallet']",[],4.0,80.0,,True,payments,s019,fuzzy,0.72,1.0
a060,Bank rolls out carbon insights for SME transaction accounts,https://www.finextra.com/newsarticle/bank-carbon-insights-sme-accounts,Finextra,2026-05-07,A bank added carbon insight estimates to SME account dashboards and supplier analytics.,A bank added carbon insight estimates to SME account dashboards and supplier analytics. This update is relevant to banking_product teams.,https://finextra.com/newsarticle/bank-carbon-insights-sme-accounts,finextra.com,bank rolls out carbon insights sme transaction accounts,bank rolls out carbon insights sme transaction accounts bank added carbon insight estimates sme account dashboards supplier analytics,0.8,225,"['account', 'bank', 'banking', 'sme']",[],4.0,80.0,,True,banking_product,s021,fuzzy,0.72,1.0
a061,Fraud network data-sharing pilot expands to more banks,https://www.pymnts.com/fraud-data-sharing-pilot-banks,PYMNTS,2026-05-06,A fraud intelligence pilot expanded to additional banks to improve detection of mule networks.,A fraud intelligence pilot expanded to additional banks to improve detection of mule networks. This update is relevant to fraud_risk teams.,https://pymnts.com/fraud-data-sharing-pilot-banks,pymnts.com,fraud network data sharing pilot expands more banks,fraud network data sharing pilot expands more banks fraud intelligence pilot expanded additional banks improve detection mule networks,0.8,234,"['bank', 'fraud']",[],2.9,58.0,,True,fraud_risk,s022,fuzzy,0.72,1.0
a062,Regulator opens consultation on open finance consent dashboards,https://regulator.example/open-finance-consent-dashboard-consultation,Regulator,2026-05-05,A regulator opened a consultation on consumer consent dashboards for open finance data sharing.,A regulator opened a consultation on consumer consent dashboards for open finance data sharing. This update is relevant to regulation teams.,https://regulator.example/open-finance-consent-dashboard-consultation,regulator.example,regulator opens consultation open finance consent dashboards,regulator opens consultation open finance consent dashboards regulator opened consultation consumer consent dashboards open finance data sharing,1.0,236,"['finance', 'open finance', 'regulator']",[],3.65,73.0,,True,regulation,s006,fuzzy,0.72,1.0
a063,Card network tests merchant-funded loyalty inside banking apps,https://usa.visa.com/about-visa/newsroom/merchant-funded-loyalty-banking-apps.html,Visa,2026-05-04,A card network is testing merchant-funded offers delivered through issuer banking apps.,A card network is testing merchant-funded offers delivered through issuer banking apps. This update is relevant to partnership teams.,https://usa.visa.com/about-visa/newsroom/merchant-funded-loyalty-banking-apps.html,usa.visa.com,card network tests merchant funded loyalty inside banking apps,card network tests merchant funded loyalty inside banking apps card network is testing merchant funded offers delivered through issuer banking apps,0.9,221,"['bank', 'banking', 'card', 'merchant']",[],4.1,82.0,,True,partnership,s013,fuzzy,0.72,1.0
a064,Stripe expands Tap to Pay for small merchants across Europe,https://www.finextra.com/newsarticle/stripe-tap-to-pay-europe?utm_source=newsletter&utm_medium=social,Finextra,2026-05-11,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://finextra.com/newsarticle/stripe-tap-to-pay-europe,finextra.com,stripe expands tap pay small merchants across europe,stripe expands tap pay small merchants across europe stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments']",[],4.55,91.0,,True,payments,s015,fuzzy,0.72,1.0
a065,Stripe rolls out Tap to Pay expansion for European SMEs,https://thepaypers.com/mobile-payments/stripe-expands-tap-to-pay-in-europe?utm_medium=social,The Paypers,2026-05-10,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://thepaypers.com/mobile-payments/stripe-expands-tap-to-pay-in-europe,thepaypers.com,stripe rolls out tap pay expansion european smes,stripe rolls out tap pay expansion european smes stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments', 'sme']",[],5.0,100.0,,True,payments,s015,fuzzy,0.72,1.0
a066,Stripe Tap to Pay reaches more merchants in Europe,https://www.pymnts.com/stripe-tap-to-pay-europe-rollout?utm_medium=social,PYMNTS,2026-05-09,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://pymnts.com/stripe-tap-to-pay-europe-rollout,pymnts.com,stripe tap pay reaches more merchants europe,stripe tap pay reaches more merchants europe stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments']",[],4.55,91.0,,True,payments,s015,fuzzy,0.72,1.0
a067,Stripe rolls out Tap to Pay expansion for European SMEs,https://fintechrepost.example/stripe_tap_to_pay?utm_source=telegram&utm_medium=social,Fintech Repost,2026-05-08,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The article republishes details from another industry source.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.",https://fintechrepost.example/stripe_tap_to_pay,fintechrepost.example,stripe rolls out tap pay expansion european smes,stripe rolls out tap pay expansion european smes stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware article republishes details from another industry source,0.45,381,"['ai', 'card', 'merchant', 'sme']",[],3.65,73.0,,True,payments,s024,fuzzy,0.72,1.0
a068,ECB publishes new digital euro wallet prototype findings,https://www.ecb.europa.eu/paym/digital_euro/prototype-findings?utm_medium=social,ECB,2026-05-07,"The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles.","The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles. The publication mentions ECB and connects the update with regulation use cases for banks.",https://ecb.europa.eu/paym/digital_euro/prototype-findings,ecb.europa.eu,ecb publishes new digital euro wallet prototype findings,ecb publishes new digital euro wallet prototype findings european central bank shared findings from digital euro wallet prototype work including offline payments privacy controls commercial bank roles,1.0,399,"['bank', 'digital euro', 'payment', 'payments', 'wallet']",[],4.75,95.0,,True,regulation,s002,fuzzy,0.72,1.0
a069,ECB updates banks on digital euro wallet prototype,https://www.finextra.com/newsarticle/ecb-digital-euro-wallet-prototype?utm_medium=social,Finextra,2026-05-06,"The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles.","The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles. The publication mentions ECB and connects the update with regulation use cases for banks.",https://finextra.com/newsarticle/ecb-digital-euro-wallet-prototype,finextra.com,ecb updates banks digital euro wallet prototype,ecb updates banks digital euro wallet prototype european central bank shared findings from digital euro wallet prototype work including offline payments privacy controls commercial bank roles,0.8,399,"['bank', 'digital euro', 'payment', 'payments', 'wallet']",[],4.55,91.0,,True,regulation,s002,fuzzy,0.72,1.0
